InvoiceDate,Recency,Frequency,TotalQuantity,AvgUnitPrice,Monetary,Recency_Frequency_Ratio,Frequency_TotalQuantity_Ratio,Cluster,Cluster_2
2010-12-01 08:26:00,374,2.0,6286.964888431447,3.2866666666666666,0,187.0,0.02564102564102564,0,0
2010-12-01 08:28:00,374,2.0,2093.063937334546,1.85,0,187.0,0.07692307692307693,0,0
2010-12-01 08:34:00,374,2.0,8222.611481245402,3.79,0,187.0,0.0196078431372549,0,0
2010-12-01 08:45:00,374,2.0,58549.42289440821,2.105294117647059,0,187.0,0.0027548209366391185,1,1
2010-12-01 09:01:00,374,2.0,2093.063937334546,1.85,0,187.0,0.07692307692307693,0,0
2010-12-01 09:02:00,374,2.0,13384.33572874928,2.750714285714286,0,187.0,0.012048192771084338,0,0
2010-12-01 09:32:00,374,2.0,13384.33572874928,2.750714285714286,0,187.0,0.012048192771084338,0,0
2010-12-01 09:34:00,374,2.0,2093.063937334546,1.85,0,187.0,0.07692307692307693,0,0
2010-12-01 09:37:00,374,2.0,30805.155064074872,1.95625,0,187.0,0.005235602094240838,0,0
2010-12-01 09:41:00,374,2.0,27901.685174853937,2.185625,0,187.0,0.005780346820809248,0,0
2010-12-01 09:45:00,374,2.0,10480.86583952835,2.4285714285714284,0,187.0,0.015384615384615385,0,0
2010-12-01 09:53:00,374,2.0,6609.57265390044,2.89,0,187.0,0.024390243902439025,0,0
2010-12-01 09:56:00,374,2.0,8222.611481245402,2.1100000000000003,0,187.0,0.0196078431372549,0,0
2010-12-01 09:59:00,374,2.0,15642.590087032228,2.067,0,187.0,0.010309278350515464,0,0
2010-12-01 10:03:00,374,2.0,13384.33572874928,3.0928571428571425,0,187.0,0.012048192771084338,0,0
2010-12-01 10:19:00,374,2.0,17578.23667984618,3.473333333333333,0,187.0,0.009174311926605505,0,0
2010-12-01 10:29:00,374,2.0,15965.19785250122,1.6300000000000001,0,187.0,0.010101010101010102,0,0
2010-12-01 10:39:00,374,2.0,13061.72796328029,2.5740000000000003,0,187.0,0.012345679012345678,0,0
2010-12-01 10:47:00,374,2.0,21449.52986547409,2.7363636363636363,0,187.0,0.007518796992481203,0,0
2010-12-01 10:51:00,374,2.0,17255.62891437719,3.006875,0,187.0,0.009345794392523364,0,0
2010-12-01 10:52:00,374,2.0,24352.99975469502,2.768125,0,187.0,0.006622516556291391,0,0
2010-12-01 10:53:00,374,2.0,2093.063937334546,1.45,0,187.0,0.07692307692307693,0,0
2010-12-01 11:21:00,374,2.0,17900.844445315175,2.13,0,187.0,0.009009009009009009,0,0
2010-12-01 11:29:00,374,2.0,65001.57820378806,1.1814814814814814,0,187.0,0.0024813895781637717,1,1
2010-12-01 11:33:00,374,2.0,14352.159025156257,2.750714285714286,0,187.0,0.011235955056179775,0,0
2010-12-01 11:34:00,374,2.0,2093.063937334546,1.85,0,187.0,0.07692307692307693,0,0
2010-12-01 11:41:00,374,2.0,71131.12574769893,1.8958974358974359,0,187.0,0.0022675736961451248,1,1
2010-12-01 11:45:00,374,2.0,21126.922100005097,2.0255555555555556,0,187.0,0.007633587786259542,0,0
2010-12-01 11:49:00,374,2.0,30482.547298605878,2.4384375,0,187.0,0.005291005291005291,0,0
2010-12-01 11:57:00,374,2.0,35805.57542884425,1.6692857142857143,0,187.0,0.0045045045045045045,0,0
2010-12-01 11:58:00,374,2.0,4996.533826555477,2.0500000000000003,0,187.0,0.03225806451612903,0,0
2010-12-01 12:03:00,374,2.0,18062.148328049672,2.564285714285714,0,187.0,0.008928571428571428,0,0
2010-12-01 12:08:00,374,2.0,34192.53660149928,3.1770833333333335,0,187.0,0.0047169811320754715,0,0
2010-12-01 12:15:00,374,2.0,39031.65308353417,1.6735714285714285,0,187.0,0.004132231404958678,0,0
2010-12-01 12:22:00,374,2.0,25643.43081657099,1.938,0,187.0,0.006289308176100629,0,0
2010-12-01 12:23:00,374,2.0,27256.469643915952,1.8747560975609754,0,187.0,0.005917159763313609,0,0
2010-12-01 12:27:00,374,2.0,15319.982321563235,2.255714285714286,0,187.0,0.010526315789473684,0,0
2010-12-01 12:31:00,374,2.0,10964.77748773184,2.2780645161290325,0,187.0,0.014705882352941176,0,0
2010-12-01 12:35:00,374,2.0,14674.76679062525,2.330769230769231,0,187.0,0.01098901098901099,0,0
2010-12-01 12:36:00,374,2.0,6125.661005696951,2.61,0,187.0,0.02631578947368421,0,0
2010-12-01 12:40:00,374,2.0,1125.240640927569,2.95,0,187.0,0.14285714285714285,0,0
2010-12-01 12:43:00,374,2.0,31289.06671227836,1.7597014925373136,0,187.0,0.005154639175257732,0,0
2010-12-01 12:48:00,374,2.0,318.721227255088,4.95,0,187.0,0.5,0,0
